Новая игра. ← ↑ ↓ → или свайп на телефоне	Nova igra. ← ↑ ↓ → ili prevlačenje na telefonu	New game. ← ↑ ↓ → or swipe on your phone
Ходов больше нет. Начните новую игру.	Nema više poteza. Započnite novu igru.	No moves left. Start a new game.
2048! Можно играть дальше сколько угодно.	2048! Možete da nastavite koliko želite.	2048! Keep playing as long as you like.
Открыть меню	Otvori meni	Open menu
Закрыть меню	Zatvori meni	Close menu
Основная навигация	Glavna navigacija	Main navigation
Выбор языка	Izbor jezika	Choose language
Дельфин и корова прыгают над морем на фоне заката	Delfin i krava skaču iznad mora u zalazak sunca	A dolphin and cow leap above the sea at sunset
Игра 2048	2048 igra	2048 game
О себе — Фёдор Клушин	O meni — Fjodor Klušin	About — Fedor Klushin
Работы — Фёдор Клушин	Radovi — Fjodor Klušin	Work — Fedor Klushin
Контакты — Фёдор Клушин	Kontakt — Fjodor Klušin	Contact — Fedor Klushin
Игра 2048 — Фёдор Клушин	2048 igra — Fjodor Klušin	2048 game — Fedor Klushin
Фёдор Клушин — графический и веб-дизайнер	Fjodor Klušin — grafički i veb dizajner	Fedor Klushin — graphic and web designer

