Fashion visual identity · art direction · 2026	Modni vizuelni identitet · art direkcija · 2026	Fashion visual identity · art direction · 2026
Личный концепт-проект:	Samostalni koncept:	Personal concept project:
бренда одежды — от материала и силуэта до айдентики, луков, упаковки и digital.	brenda odeće — od materijala i siluete do identiteta, kombinacija, ambalaže i digitalnih kanala.	for a clothing brand — from materials and silhouettes to identity, looks, packaging and digital.
Visual research · арт-дирекшн · fashion-айдентика · упаковка · digital	Vizuelno istraživanje · art direkcija · modni identitet · ambalaža · digital	Visual research · art direction · fashion identity · packaging · digital
Концепт · муд-борд · материалы · стайлинг · луки · логотип · упаковка · соцсети	Koncept · moodboard · materijali · stilizovanje · kombinacije · logotip · ambalaža · društvene mreže	Concept · moodboard · materials · styling · looks · logo · packaging · social
Figma · Photoshop · Illustrator · AI image tools	Figma · Photoshop · Illustrator · AI alati za slike	Figma · Photoshop · Illustrator · AI image tools
Sketchbook / visual register — 15 разворотов, AW26	Skicirka / vizuelna arhiva — 15 strana, AW26	Sketchbook / visual register — 15 spreads, AW26
// Independent concept — self-initiated visual study, AW26.	// Samostalni koncept — vizuelno istraživanje, AW26.	// Independent concept — self-initiated visual study, AW26.
Отправная точка — не цвет, а ткань	Polazna tačka nije boja, već tkanina	Start with fabric, not color
Палитра собрана от материала: девять оттенков привязаны к органическому хлопку, вареному индиго и структурному трикотажу. Цвет калибруется по тому, как пигмент ложится на волокно.	Paleta polazi od materijala: devet nijansi vezano je za organski pamuk, isprani indigo i teksturirano pletivo. Boja se usklađuje sa načinom na koji pigment leži na vlaknu.	The palette starts with material: nine shades tied to organic cotton, washed indigo and textured knitwear. Color is calibrated to how pigment sits on the fiber.
02 — Силуэт	02 — Silueta	02 — Silhouette
Четыре профиля объёма	Četiri profila volumena	Four volume profiles
Приспущенное на 4 см плечо, удлинённый рост брюк, слои, которые вкладываются друг в друга не тесня. Посадка спроектирована под свободу движения.	Rame spušteno za 4 cm, produžene pantalone i slojevi koji se uklapaju bez stezanja. Kroj dopušta slobodu kretanja.	Shoulders drop by 4 cm, trouser length extends, and layers fit together without constriction. The fit is designed for movement.
03 — Айдентика	03 — Identitet	03 — Identity
Клинический каталог поверх тёплой съёмки	Precizan katalog preko toplih fotografija	A precise catalog over warm imagery
Логотип с широким кернингом, монограмма OH, slash-mark O/H. Моноширинный шрифт режет мягкую лайфстайл-картинку и приносит в дневник дизайнера строгую каталожную сетку.	Logotip sa širokim razmacima, monogram OH i znak O/H. Monospace font unosi strogu katalošku mrežu u meku lifestyle fotografiju.	A widely spaced logo, OH monogram and O/H slash mark. Monospaced type cuts across soft lifestyle imagery and brings a strict catalog grid to the designer's notebook.
04 — Луки AW26	04 — Kombinacije AW26	04 — AW26 looks
Гардероб для постоянной ротации	Garderoba za stalno kombinovanje	A wardrobe on rotation
Шесть луков, каждый — флэтлей с разложенными предметами повседневного карри: часы, камера, книга, кофе. Одежда читается как история одного дня, а не витрина.	Šest kombinacija; svaka je flat lay sa svakodnevnim predmetima: sat, kamera, knjiga, kafa. Odeća postaje priča jednog dana, ne samo izlog.	Six looks, each a flat lay with everyday objects: a watch, camera, book and coffee. The clothing reads as one day's story rather than a storefront.
05 — Упаковка	05 — Ambalaža	05 — Packaging
Трим с полной печатной спецификацией	Detalji sa potpunim specifikacijama za štampu	Trims with full print specifications
Хэнг-таг на вареном картоне 450 г/м², тканый damask-лейбл по индиго-фону, canvas tote 380 г/м². Каждый носитель — с размерами, материалом и штрихкодом.	Etiketa na kartonu od 450 g/m², tkana damask etiketa na indigo osnovi i platnena torba od 380 g/m². Svaki element ima dimenzije, materijal i bar-kod.	A hang tag on 450 g/m² washed board, a woven damask label on indigo and a 380 g/m² canvas tote. Each item includes dimensions, material and a barcode.
06 — Digital	06 — Digital	06 — Digital
Интерфейс как тихая галерея	Interfejs kao mirna galerija	An interface like a quiet gallery
Веб и соцсети продолжают вещь: много воздуха, неспешная типографика, экран с одной курируемой композицией. Веб-хедер, Instagram post и story — в одном ключе.	Sajt i društvene mreže nastavljaju priču proizvoda: mnogo prostora, mirna tipografija i jedna pažljivo uređena kompozicija po ekranu. Zaglavlje, Instagram objava i story prate isti pravac.	The web and social channels extend the product: generous space, unhurried type and one curated composition per screen. The web header, Instagram post and story share a visual language.
Полный визуальный архив · 15 разворотов	Kompletna vizuelna arhiva · 15 strana	Full visual archive · 15 spreads

