К содержанию	Na sadržaj	Skip to content
ФЁДОР КЛУШИН	FJODOR KLUŠIN	FEDOR KLUSHIN
О себе	O meni	About
Работы	Radovi	Work
Контакты	Kontakt	Contact
Куда я попал?	Gde sam dospeo?	Where am I?
Познакомимся	Hajde da se upoznamo	Let's meet
Давайте	Hajde da se	Let's
знакомиться	upoznamo	meet
Привет! Я Фёдор Клушин — графический и веб-дизайнер. Если мы ещё не знакомы, рад встрече.	Zdravo! Ja sam Fjodor Klušin, grafički i veb dizajner. Ako se još ne poznajemo, drago mi je.	Hi! I'm Fedor Klushin, a graphic and web designer. If we haven't met yet, it's nice to meet you.
Делаю сайты, айдентику, презентации и Telegram-ботов под конкретные задачи. Сначала разбираюсь, что нужно проекту, а затем подбираю решение и инструменты.	Pravim sajtove, vizuelne identitete, prezentacije i Telegram botove za konkretne zadatke. Najpre razumem šta projektu treba, a zatim biram rešenje i alate.	I create websites, visual identities, presentations and Telegram bots for specific needs. I first understand the project, then choose the right solution and tools.
Работал с клиентами на фрилансе. В Primography готовил изображения и макеты к печати, занимался цветокоррекцией и видел, как дизайн с экрана превращается в реальный материал.	Radio sam sa klijentima kao frilenser. U Primography sam pripremao slike i dizajn za štampu, radio korekciju boja i video kako dizajn sa ekrana postaje stvaran materijal.	I've worked with clients as a freelancer. At Primography, I prepared images and layouts for print, worked on color correction and saw how screen designs become physical materials.
Сейчас открыт к новым проектам. Если хотите рассказать о своей задаче, напишите мне в Telegram — начнём с короткого разговора.	Otvoren sam za nove projekte. Ako želite da mi ispričate o svom zadatku, pišite mi na Telegramu — počećemo kratkim razgovorom.	I'm open to new projects. If you'd like to tell me about yours, message me on Telegram and we can start with a short conversation.
Смотреть работы	Pogledaj radove	View work
Написать в Telegram	Piši mi na Telegramu	Message me on Telegram
Дизайн / избранные проекты	Dizajn / izabrani projekti	Design / selected projects
РАБОТЫ	RADOVI	WORK
От идеи и структуры до изображения, интерфейса и печатного макета.	Od ideje i strukture do slike, interfejsa i dizajna za štampu.	From ideas and structure to imagery, interfaces and print layouts.
Избранные проекты	Izabrani projekti	Selected projects
Кампания · веб-дизайн	Kampanja · veb dizajn	Campaign · web design
UX/UI · e-commerce	UX/UI · e-trgovina	UX/UI · e-commerce
Айдентика · упаковка	Vizuelni identitet · ambalaža	Identity · packaging
Арт-дирекшн · fashion	Art direkcija · moda	Art direction · fashion
Другие работы	Ostali radovi	Other work
Логотип · fintech	Logotip · finansijska tehnologija	Logo · fintech
Визитка · печатный дизайн	Vizitkarta · dizajn za štampu	Business card · print design
Дарья Т.	Darja T.	Darya T.
Есть задача, которую можно решить вместе?	Imate zadatak na kom možemo da radimo zajedno?	Have a project we could work on together?
Связаться со мной	Kontaktirajte me	Get in touch
← Все работы	← Svi radovi	← All work
Скачать PDF	Preuzmi PDF	Download PDF
Задача	Zadatak	Brief
Решение	Rešenje	Solution
Материал	Materijal	Material
Следующий проект →	Sledeći projekat →	Next project →
Все работы	Svi radovi	All work
Роль	Uloga	Role
Формат	Format	Format
Скоуп	Obuhvat	Scope
Инструменты	Alati	Tools
Закрыть ✕	Zatvori ✕	Close ✕
© 2026 Фёдор Клушин · Санкт-Петербург	© 2026 Fjodor Klušin · Sankt Peterburg	© 2026 Fedor Klushin · Saint Petersburg
© 2026 Фёдор Клушин · Санкт-Петербург / удалённо	© 2026 Fjodor Klušin · Sankt Peterburg / na daljinu	© 2026 Fedor Klushin · Saint Petersburg / remote
Санкт-Петербург	Sankt Peterburg	Saint Petersburg
© 2026 Фёдор Клушин	© 2026 Fjodor Klušin	© 2026 Fedor Klushin
Небольшая пауза	Kratka pauza	A short break
СЫГРАЕМ В 2048?	IGRAMO 2048?	PLAY 2048?
Соединяйте одинаковые числа. Дойдите до 2048 — игра продолжится.	Spajajte iste brojeve. Stignite do 2048 — i nastavite da igrate.	Combine matching numbers. Reach 2048 and keep playing.
Счёт	Rezultat	Score
Рекорд	Rekord	Best
Рекорд сохраняется в этом браузере и обновляется, только когда вы его побьёте.	Rekord se čuva u ovom pregledaču i menja se tek kada ga nadmašite.	Your best score stays in this browser and changes only when you beat it.
Новая игра ↻	Nova igra ↻	New game ↻
← ↑ ↓ → или свайп на телефоне	← ↑ ↓ → ili prevlačenje na telefonu	← ↑ ↓ → or swipe on your phone
← Вернуться к контактам	← Nazad na kontakt	← Back to contact
В начало ↑	Na početak ↑	Back to start ↑
ЕСТЬ ЗАДАЧА?	IMATE PROJEKAT?	HAVE A PROJECT?
ДАВАЙТЕ ОБСУДИМ.	HAJDE DA RAZGOVARAMO.	LET'S TALK.
Расскажите, что нужно сделать — я предложу, с чего начать.	Recite mi šta vam treba — predložiću odakle da počnemo.	Tell me what you need, and I'll suggest where to start.
← Вернуться к работам	← Nazad na radove	← Back to work
↑ Вернуться в начало	↑ Nazad na početak	↑ Back to start
Почта	E-pošta	Email
Telegram @fod1k ↗	Telegram @fod1k ↗	Telegram @fod1k ↗
Dprofile ↗	Dprofile ↗	Dprofile ↗
Есть минутка? Загляни в игру ↗	Imaš minut? Zaviri u igru ↗	Got a minute? Try the game ↗
