Двусторонняя визитка для тату-мастера: иллюстративная лицевая сторона задаёт настроение, оборотная собирает способы связи и QR-код в ясную структуру.	Dvostrana vizitkarta za tatu majstorku: ilustracija na licu gradi atmosferu, a poleđina jasno prikazuje kontakte i QR kod.	A two-sided business card for a tattoo artist: the illustrated front sets the mood, while the back organizes contact details and a QR code.
Сделать контактную карточку узнаваемой и удобной для записи.	Napraviti prepoznatljivu karticu koja olakšava zakazivanje.	Create a distinctive card that makes booking easy.
Спокойная бумажная фактура, рисунок с красными акцентами и контрастный информационный блок.	Mirna tekstura papira, crtež sa crvenim akcentima i kontrastan blok informacija.	A calm paper texture, an illustration with red accents and a contrasting information block.
Визуальное превью лицевой и оборотной сторон.	Vizuelni prikaz obe strane.	Visual preview of both sides.
Лицевая и оборотная стороны визитки	Lice i poleđina vizitkarte	Front and back of the card
Лицевая сторона	Lice	Front
Оборотная сторона	Poleđina	Back
Знак и слово для концепции финансового ИИ-помощника: геометричная форма, фиолетовый акцент и спокойная графитовая типографика.	Znak i naziv za koncept AI finansijskog asistenta: geometrijska forma, ljubičasti akcenat i smirena grafitna tipografija.	A symbol and wordmark for an AI finance assistant concept: geometric form, purple accent and calm graphite typography.
Разработка логотипа	Dizajn logotipa	Logo design
Передать ощущение современного, надёжного помощника без привычных банковских символов.	Preneti utisak modernog, pouzdanog asistenta bez uobičajenih bankarskih simbola.	Convey a modern, trustworthy assistant without conventional banking symbols.
Концепция логотипа по брифу.	Koncept logotipa prema brifu.	Logo concept based on a brief.
01 / Логотип Veyra	01 / Logotip Veyra	01 / Veyra logo
Концепция запуска лимитированной серии очищающей пенки «Дикая клюква»: ключевой визуал, первый экран лендинга, каталог и материалы для соцсетей.	Koncept lansiranja ograničene serije pene za čišćenje „Divlja brusnica”: ključni vizual, prvi ekran sajta, katalog i materijali za društvene mreže.	A launch concept for the limited Wild Cranberry cleansing foam: key visual, landing page hero, catalog and social media assets.
Визуальная концепция, графический и веб-дизайн	Vizuelni koncept, grafički i veb dizajn	Visual concept, graphic and web design
Показать продукт и его идею «20 секунд» в разных точках контакта.	Prikazati proizvod i ideju „20 sekundi” kroz različite kanale komunikacije.	Show the product and its “20 seconds” idea across different touchpoints.
Дизайн-задание для EMRA; представленные экраны и материалы — концепция, а не запущенная кампания.	Dizajnerski zadatak za EMRA; prikazani ekrani i materijali su koncept, ne realizovana kampanja.	Design assignment for EMRA; these screens and assets are a concept, not a launched campaign.
01 / Идея кампании «20 секунд»	01 / Ideja kampanje „20 sekundi”	01 / “20 seconds” campaign idea
02 / Продукт и ключевой визуал	02 / Proizvod i ključni vizual	02 / Product and key visual
03 / Первый экран лендинга	03 / Prvi ekran sajta	03 / Landing page hero
04 / Каталог и презентация	04 / Katalog i prezentacija	04 / Catalog and presentation
05 / Материалы для соцсетей и точек продаж	05 / Materijali za društvene mreže i prodajna mesta	05 / Social and point-of-sale materials

